"attribute","definition","url"
"Weather Normalized Source EUI (kBtu/ft²)","The Weather Normalized Source Energy Use Intensity (EUI) is the source EUI (kBtu/ft2) of the property, normalized for weather. Weather normalization facilitates comparison between different parts of the country and corrects for year-to-year differences in weather. Weather normalized energy is the energy your building would have used under 30-year average conditions (also referred to as climate normals). The weather in a given year may be much hotter or colder than the normal climate; weather normalized energy accounts for this difference. Weather Normalized Source EUI values are the result of self-reported entries. ","https://www.energystar.gov/buildings/tools-and-resources/portfolio-manager-technical-reference-climate-and-weather"
"Total GHG Emissions (Metric Tons CO2e)","Greenhouse Gas (GHG) Emissions are the carbon dioxide (CO2), methane (CH4), and nitrous oxide (N2O) gases released into the atmosphere as a result of energy consumption at the property. GHG emissions are expressed in Metric Tons of carbon dioxide equivalent (CO2e), a universal unit of measure that combines the quantity and global warming potential of each greenhouse gas. Total Emissions is the sum of Direct Emissions (emissions associated with onsite fuel combustion) and Indirect Emissions (emissions associated with purchases of electricity, district steam, district hot water, or district chilled water. These emissions occur at the utility plant, but they are a result of the property’s energy consumption and therefore contribute to the overall GHG footprint). ","https://www.energystar.gov/buildings/facility-owners-and-managers/existing-buildings/use-portfolio-manager/understand-metrics/how"
"Total GHG Emissions Intensity (kgCO2e/ft²)","The total Greenhouse Gas (GHG) Emissions, divided by the floor area of the building, in kilograms of carbon dioxide equivalent (CO2e) per square foot.","https://www.energystar.gov/buildings/facility-owners-and-managers/existing-buildings/use-portfolio-manager/understand-metrics/how"
"Water Use (All Water Sources) (kgal)","Total annual water consumption in kilogallons (1,000 gallons)."," "
"Electricity Use (kWh)","The total annual electricity consumed by the property, both sourced from the electrical grid and generated from any onsite renewable energy generation systems (if applicable), in kilowatt-hours (kWh)."," "
"Natural Gas Use (therms)","The total annual natural gas consumed by the property, in therms (1 therm  equals 100,000 British Thermal Units (Btus), and is approximately equal to the energy content of 100 cubic feet (CCF) of natural gas."," "
"Fuel Oil & Diesel Fuel Use (kBTU)","Total annual energy consumption from liquid fuel use on the property, inclusive of fuel oil no. 1, fuel oil no. 2, fuel oil no. 4, fuel oil no. 5 and no. 6, diesel, kerosene, and propane, measured in kBtu (1,000 British Thermal Units)."," "
"District Water-Based Energy Use (kBTU)","Total annual energy consumption from district water-based energy sources, inclusive of District Steam systems, District Hot Water, and District Chilled Water, measured in kBTU (1,000 British Thermal Units). "," "
"Metered Areas (Energy)","The portions of the building for which energy use was reported. "," "
"Metered Areas  (Water)","The portions of the building for which water use was reported, according to EPA. (Note that water data is almost always metered at the whole building level in DC, so a blank value here is usually not of concern.)"," "
"Latitude","Geographic coordinate that specifies the north–south position of a point on the Earth's surface"," "
"Longitude","Geographic coordinate that specifies the east-west position of a point on the Earth's surface"," "
